symbol logfc avgexp t pval fdr b
LMAN2L 0.254653439951229 8.49036008713439 6.58880115631417 1.4344767790461e-09 3.83335807165193e-06 11.5318092138399
SHKBP1 0.368535034047616 6.48394937399634 6.55660646100916 1.67792071011597e-09 3.83335807165193e-06 11.3840123278215
SPHK2 0.512028998783982 7.71281085148923 6.36851709738213 4.16588950063704e-09 6.72235702419463e-06 10.5268633745427
AJUBA 0.381973099660152 6.61645311286986 6.26027646031623 6.99420098299302e-09 6.78588668175861e-06 10.0386934928791
TJP1 0.287992915027823 8.24707216824744 6.25984026174443 7.00876542218406e-09 6.78588668175861e-06 10.0367340323808
TMCC3 0.688935412451787 8.55735075208946 6.10939148521132 1.43069261640494e-08 1.15433049266939e-05 9.36475904696202
MKNK2 0.664453901031422 9.43986080336085 6.08094038907396 1.63593118291383e-08 1.16964167106568e-05 9.23856724541958
FLNB 0.309246196143517 8.75520950053915 6.05143761058969 1.87932915306951e-08 1.20120698897433e-05 9.10801513474743
PEBP1 0.316672258872813 11.6087131559143 6.03977737576202 1.9850559619489e-08 1.20120698897433e-05 9.05650379641116
WNK1 0.212220617582903 7.73523250944366 6.02309845805861 2.14652634024548e-08 1.22250988389745e-05 8.98290682874298
TKT 0.462887508286274 11.0071340879464 6.00758281710572 2.3082952261769e-08 1.24160635443582e-05 8.91453358171768
CAPZB 0.152454500707513 9.97327203256567 5.98237663449772 2.5970062689613e-08 1.32337972084649e-05 8.80364427863203
PNKD 0.448450629501302 9.86544372787267 5.9311994009406 3.29666651456031e-08 1.44102018059074e-05 8.57922253823942
ORAI3 0.301876843985148 7.65819658396236 5.92489077393055 3.39481913162019e-08 1.44102018059074e-05 8.55162561351266
TALDO1 0.21387112300167 10.9403351117597 5.87823581279277 4.21544793382921e-08 1.44102018059074e-05 8.34800059219833
HMGN3 0.484069415331389 8.60227033790995 5.87089481968309 4.36119852544071e-08 1.44102018059074e-05 8.31603615345039
SUOX 0.283602553323004 10.0405429519488 5.86103018202746 4.56487330043928e-08 1.44102018059074e-05 8.27311560762653
PARD6B 0.340773958476689 6.9636292230904 5.85893062386737 4.60941355813012e-08 1.44102018059074e-05 8.26398534691983
PEX5 0.24680245420363 10.0201815474846 5.85872099210849 4.61388407336426e-08 1.44102018059074e-05 8.26307382291959
CD276 0.420469269891477 6.41690331606767 5.83832121789454 5.06991221817643e-08 1.53396531551201e-05 8.17445206328949
SORBS2 0.251845050374992 10.0446162468834 5.82665302812905 5.35035055253043e-08 1.56976042574544e-05 8.12383471655896
FADS3 0.612762300027563 6.02626183229675 5.81587302690834 5.62294504207271e-08 1.5753083240764e-05 8.07711730812966
WSB2 0.277422981687183 7.75261036310935 5.75658581378338 7.3842196507204e-08 1.93227066643986e-05 7.8209963208928
OPLAH 0.307044906056266 8.95386902612516 5.73767730097578 8.05231100528681e-08 1.99903782444069e-05 7.73960352130753
GNB2 0.164761278452048 9.41400318362786 5.70596255058275 9.30837356317349e-08 2.19813836191819e-05 7.60340641199091
REEP6 0.407527833223041 10.972230529011 5.67836127082495 1.05564793047565e-07 2.43351982449173e-05 7.48520432536463
UBA1 0.163363477128437 10.0801930828348 5.65624928218272 1.1673470635294e-07 2.53913247579232e-05 7.39073352122279
ARHGEF18 0.265208078773522 7.79178626219106 5.65385083078801 1.18013800258887e-07 2.53913247579232e-05 7.38049844388654
TPM3 0.215290146658404 9.72618510585735 5.62348158092844 1.35447570373708e-07 2.82104944379075e-05 7.25110624232244
MAB21L3 0.571206210915189 7.98819074397991 5.6170864886131 1.3942828960768e-07 2.82104944379075e-05 7.22390764370247
MPZL2 0.373782959312485 4.98565035551597 5.59762847393973 1.52258424506473e-07 2.88411770415695e-05 7.14125634549393
EEPD1 1.0166557169145 7.4606759939151 5.5939564552978 1.5480619945783e-07 2.88411770415695e-05 7.12567649985054
CYB5R3 0.336076207156335 11.3950313716377 5.59382248422914 1.54899938665732e-07 2.88411770415695e-05 7.12510818638959
IL3RA 0.287617595863714 6.383566714847 5.58377949756745 1.62087602865208e-07 2.961004096115e-05 7.0825265949075
CALM1 0.165977886555881 8.89116376284213 5.56292039536783 1.78075837073025e-07 3.1928338047056e-05 6.99422061646099
SPG7 0.198008226037463 6.2984307816182 5.55049496551017 1.88323355061633e-07 3.25117273695788e-05 6.94170532017222
RTN3 0.192233703219305 10.4769499461341 5.54494997635247 1.93080707132738e-07 3.25117273695788e-05 6.918290854061
SEPT9 0.301671519947353 8.94578522855283 5.54173767542732 1.95890341339023e-07 3.25117273695788e-05 6.90473244366366
CDC42BPB 0.2307781321164 7.5826987197633 5.5392211020166 1.98119388019536e-07 3.25117273695788e-05 6.89411360522412
SLC25A1 0.432233046927005 10.4543464987358 5.4804666273858 2.57823018810399e-07 4.09220076741358e-05 6.64696464813533
TRIM26 0.27991881820612 8.68709309777752 5.46275553885405 2.79048361120075e-07 4.29392196956511e-05 6.5727551903629
PRKACA 0.377161297120653 8.86020770015091 5.46247169975708 2.794020699056e-07 4.29392196956511e-05 6.57156701335637
FERMT2 0.205964601061497 9.61177318116582 5.45331834033559 2.91046756776892e-07 4.40299171736542e-05 6.53326899773175
RAB7A 0.293562014243802 10.2438744513149 5.44324720387177 3.04407805544341e-07 4.46557026254593e-05 6.49117319384614
PRRC2A 0.407449262397284 8.18071408715404 5.41819348586996 3.40302523332258e-07 4.91762541925809e-05 6.38664528535553
SPRYD3 0.268870223342537 6.86631997377262 5.40489896134354 3.60998093380102e-07 5.06548339145819e-05 6.33129074455055
ANAPC2 0.239778223392637 8.38383483227512 5.36352779620384 4.33588188549982e-07 5.74754489115148e-05 6.15953504900243
MYH9 0.446682985778803 8.54899626842161 5.36057251816621 4.39287669846323e-07 5.74754489115148e-05 6.14729520981528
MAPK9 0.397133839744509 7.84504870319435 5.32189543074495 5.20978680012679e-07 6.55079945439319e-05 5.98746907845873
LASP1 0.23040129648537 9.06387820881534 5.30618185304385 5.58251921645735e-07 6.84176595616962e-05 5.92272891724078
NADK 0.159508209952174 10.2140013193423 5.28823234789719 6.04020525238994e-07 7.18591871032558e-05 5.84891438936293
NADSYN1 0.308511640028588 7.65556162122407 5.28766042064454 6.05537524535482e-07 7.18591871032558e-05 5.84656484996723
MED12 0.282821805898759 7.3702472284769 5.28651053980466 6.08598775301278e-07 7.18591871032558e-05 5.84184146785582
DBNL 0.258489072672118 8.83562291700719 5.27354043167687 6.4419206290691e-07 7.51453922055988e-05 5.78860597770518
